,Name,ReleaseYear,Duration_min,NumberOfRatings,NumberOfReviews,NumberOfCriticReviews,Rating
656,The Treasure of the Sierra Madre,1948,126,119000,299,103,8.2
657,Rashomon,1950,88,159000,365,147,8.2
658,The Raid 2,2014,150,118000,364,470,8.0
659,The Sweet Life,1960,174,70000,212,164,8.0
660,Rebel Without a Cause,1955,111,87000,350,171,7.7
661,Three Colors: Blue,1993,94,96000,215,89,7.9
662,Harold and Maude,1971,91,75000,354,98,7.9
663,Drishyam 2,2021,152,30000,1000,17,8.6
664,Loving Vincent,2017,94,54000,218,196,7.8
665,The Man from Nowhere,2010,119,66000,179,113,7.8
666,The Night of the Hunter,1955,92,85000,480,218,8.0
667,Lifeboat,1944,97,28000,170,67,7.6
668,The Killing,1956,84,85000,414,117,8.0
669,Short Term 12,2013,96,85000,184,270,8.0
670,Like Stars on Earth,2007,165,179000,427,36,8.4
671,The Third Man,1949,93,164000,498,261,8.1
672,In the Heat of the Night,1967,110,71000,243,97,7.9
673,Me and Earl and the Dying Girl,2015,105,127000,236,318,7.7
674,The Last Emperor,1987,163,98000,184,89,7.7
675,Mysterious Skin,2004,105,67000,256,153,7.6
676,Double Indemnity,1944,107,149000,430,154,8.3
677,Mary and Max,2009,92,170000,251,184,8.1
678,The Odd Couple,1968,105,33000,144,74,7.7
679,Anatomy of a Murder,1959,161,63000,253,122,8.0
680,Mirror,1975,107,43000,147,84,8.1
681,Black Book,2006,145,74000,259,239,7.7
682,Watership Down,1978,91,35000,208,76,7.6
683,The Celebration,1998,105,83000,283,110,8.1
684,Secrets & Lies,1996,136,41000,169,64,8.0
685,PK,2014,153,171000,637,76,8.1
686,Ray,2004,152,142000,470,192,7.7
687,A Man Called Ove,2015,116,50000,114,158,7.7
688,Being There,1979,130,69000,350,125,8.0
689,The Chaser,2008,125,62000,166,139,7.8
690,Land of Mine,2015,100,38000,96,160,7.8
691,Dead Man's Shoes,2004,90,51000,281,98,7.6
692,Red River,1948,133,30000,206,86,7.8
693,The Philadelphia Story,1940,112,66000,250,83,7.9
694,Notorious,1946,102,97000,366,153,8.0
695,Days of Heaven,1978,94,55000,230,126,7.8
696,Zindagi Na Milegi Dobara,2011,155,72000,209,32,8.2
697,The Great Dictator,1940,125,212000,298,117,8.4
698,25th Hour,2002,135,174000,482,192,7.6
699,Gaslight,1944,114,26000,164,82,7.8
700,Amour,2012,127,96000,237,470,7.9
701,The Big Sleep,1946,114,82000,297,122,7.9
702,The Quiet Man,1952,129,36000,280,109,7.8
703,Modern Times,1936,87,227000,331,120,8.5
704,Withnail & I,1987,107,42000,228,106,7.6
705,A Prophet,2009,155,96000,171,267,7.9
706,King Kong,1933,100,82000,545,179,7.9
707,Freaks,1932,64,44000,291,169,7.9
708,Ayla: The Daughter of War,2017,125,37000,78,16,8.4
709,The Straight Story,1999,112,86000,463,161,8.0
710,Nebraska,2013,115,115000,325,449,7.7
711,Whisper of the Heart,1995,111,56000,170,84,7.9
712,The Best Years of Our Lives,1946,170,61000,319,132,8.1
713,The Station Agent,2003,89,69000,310,165,7.6
714,Breathless,1960,90,76000,227,218,7.8
715,Manhattan,1979,96,136000,273,119,7.9
716,The Hustler,1961,134,79000,221,119,8.0
717,Talk to Her,2002,112,108000,276,91,7.9
718,A Christmas Story,1983,93,137000,534,90,7.9
719,Key Largo,1948,100,39000,191,71,7.8
720,Kubo and the Two Strings,2016,101,122000,303,312,7.8
721,Zulu,1964,138,38000,276,44,7.7
722,Run Lola Run,1998,80,193000,757,202,7.7
723,From Here to Eternity,1953,118,45000,193,128,7.6
724,Sympathy for Mr. Vengeance,2002,129,65000,154,151,7.6
725,Death Note,2006,126,30000,104,78,7.7
726,Short Cuts,1993,188,44000,150,66,7.7
727,Ikiru,1952,143,73000,236,136,8.3
728,High and Low,1963,143,39000,143,97,8.4
729,Hamlet,1996,242,37000,263,85,7.7
730,Pather Panchali,1955,125,28000,167,122,8.5
731,All About My Mother,1999,101,92000,254,83,7.9
732,The Verdict,1982,129,38000,194,94,7.7
733,The Day the Earth Stood Still,1951,92,79000,449,144,7.7
734,The Manchurian Candidate,1962,126,73000,358,128,7.9
735,Frankenstein,1931,70,68000,627,131,7.8
736,Open Your Eyes,1997,119,67000,229,92,7.7
737,Control,2007,122,63000,167,193,7.7
738,Hedwig and the Angry Inch,2001,95,34000,243,124,7.7
739,Tokyo Story,1953,136,57000,184,117,8.2
740,Autumn Sonata,1978,99,31000,94,75,8.2
741,The Day of the Jackal,1973,143,39000,230,73,7.8
742,Victoria,2015,138,56000,201,272,7.6
743,The Red Shoes,1948,135,33000,186,119,8.1
744,It Happened One Night,1934,105,98000,322,124,8.1
745,Perfect Strangers,2016,96,60000,62,74,7.8
746,The Man Who Would Be King,1975,129,47000,209,45,7.8
747,Chhichhore,2019,143,42000,707,17,8.3
748,In a Lonely Place,1950,94,29000,204,119,8.0
749,Breaking the Waves,1996,159,64000,244,95,7.8
750,Belle de Jour,1967,100,42000,139,157,7.7
751,Infernal Affairs,2002,101,121000,225,180,8.0
752,A Hard Day's Night,1964,87,43000,263,95,7.6
753,Bicycle Thieves,1948,89,155000,335,135,8.3
754,The Grapes of Wrath,1940,129,89000,361,103,8.1
755,Porco Rosso,1992,94,83000,139,99,7.7
756,The 400 Blows,1959,99,111000,229,177,8.1
757,Wild Strawberries,1957,91,101000,207,104,8.2
758,Judgment at Nuremberg,1961,179,73000,236,109,8.2
759,Fantasia,1940,125,91000,358,127,7.7
760,Philomena,2013,98,97000,270,358,7.6
761,The Muppet Movie,1979,95,34000,123,84,7.6
762,The Legend of 1900,1998,169,61000,286,64,8.1
763,East of Eden,1955,118,43000,214,98,7.9
764,Invasion of the Body Snatchers,1956,80,47000,269,157,7.7
765,Children of Heaven,1997,89,70000,196,62,8.3
766,Touch of Evil,1958,95,101000,341,124,8.0
767,Duck  You Sucker!,1971,138,33000,156,96,7.6
768,La Vie En Rose,2007,140,85000,263,221,7.6
769,The Lion in Winter,1968,134,30000,195,68,7.9
770,Delicatessen,1991,99,83000,196,65,7.6
771,Aguirre  the Wrath of God,1972,95,55000,250,179,7.9
772,When Marnie Was There,2014,103,36000,109,183,7.7
773,The White Ribbon,2009,144,71000,222,291,7.8
774,Song of the Sea,2014,93,55000,148,165,8.1
775,The Vanishing,1988,107,37000,233,102,7.7
776,Andrei Rublev,1966,205,50000,179,118,8.1
777,The Hidden Fortress,1958,126,37000,120,105,8.1
778,City Lights,1931,87,175000,314,129,8.5
779,The Visitor,2007,104,42000,172,237,7.6
780,Cat on a Hot Tin Roof,1958,108,47000,183,88,8.0
781,Fantastic Planet,1973,72,28000,139,99,7.8
782,Inherit the Wind,1960,128,29000,207,82,8.1
783,Cape Fear,1962,106,28000,179,92,7.7
784,Dara of Jasenovac,2020,130,79000,878,29,8.9
785,Waking Life,2001,99,62000,524,147,7.8
786,The Adventures of Robin Hood,1938,102,49000,294,115,7.9
787,To Have and Have Not,1944,100,33000,177,95,7.8
788,The Wave,2008,107,105000,128,102,7.6
789,Hannah and Her Sisters,1986,107,69000,191,87,7.9
790,Once Were Warriors,1994,102,33000,312,62,7.9
791,A Very Long Engagement,2004,133,72000,253,192,7.6
792,Laura,1944,88,45000,291,130,8.0
793,Mr. Smith Goes to Washington,1939,129,111000,318,96,8.1
794,The Message,1976,177,46000,165,21,8.2
795,Scarface,1932,93,27000,410,73,7.8
796,The Diving Bell and the Butterfly,2007,112,105000,202,276,8.0
797,Frost/Nixon,2008,122,106000,276,305,7.7
798,The Sacrifice,1986,149,26000,97,93,8.0
799,The Motorcycle Diaries,2004,126,99000,308,193,7.8
800,Adam's Apples,2005,94,48000,70,95,7.8
801,Le Samouraï,1967,101,48000,143,111,8.1
802,Lagaan: Once Upon a Time in India,2001,224,109000,303,77,8.1
803,The Salesman,2016,124,56000,116,315,7.7
804,The Tenant,1976,126,42000,191,102,7.7
805,Drishyam,2015,163,76000,272,41,8.2
806,Sweet Smell of Success,1957,96,30000,171,136,8.0
807,The Kid,1921,68,119000,217,114,8.3
808,The Sea Inside,2004,126,80000,146,161,8.0
809,The Tale of The Princess Kaguya,2013,137,42000,149,190,8.0
810,Bajrangi Bhaijaan,2015,163,80000,393,58,8.0
811,Fitzcarraldo,1982,158,33000,108,100,8.1
812,3-Iron,2004,88,53000,144,182,8.0
813,Batman: Mask of the Phantasm,1993,76,46000,193,71,7.8
814,Repulsion,1965,105,51000,245,119,7.7
815,Night on Earth,1991,129,58000,112,65,7.7
816,Les yeux sans visage,1960,90,29000,173,126,7.7
817,Shadow of a Doubt,1943,108,62000,281,93,7.8
818,Diabolique,1955,117,64000,201,151,8.1
819,Lilya 4-Ever,2002,109,44000,228,116,7.8
820,Throne of Blood,1957,110,49000,162,110,8.1
821,Leviathan,2014,140,51000,138,288,7.6
822,The Bandit,1996,128,67000,70,7,8.2
823,His Girl Friday,1940,92,56000,433,110,7.9
824,Bhaag Milkha Bhaag,2013,186,64000,209,51,8.2
825,Cowboy Bebop: The Movie,2001,115,45000,139,69,7.9
826,Interstate 60: Episodes of the Road,2002,116,31000,141,21,7.7
827,Evil,2003,113,37000,99,70,7.8
828,Gilda,1946,110,31000,181,102,7.6
829,Nights of Cabiria,1957,110,45000,113,105,8.1
830,Kagemusha,1980,162,34000,116,86,8.0
831,Chak De! India,2007,153,77000,139,69,8.2
832,Gully Boy,2019,154,35000,482,47,8.0
833,The Cabinet of Dr. Caligari,1920,67,60000,253,178,8.1
834,Elite Squad,2007,115,100000,130,148,8.0
835,Wolf Children,2012,117,41000,113,87,8.1
836,Hard Boiled,1992,128,48000,286,109,7.8
837,Amarcord,1973,123,41000,127,113,7.9
838,Underground,1995,167,57000,151,50,8.1
839,The Conformist,1970,113,29000,120,132,8.0
840,Three Colors: White,1994,92,69000,110,69,7.6
841,All Quiet on the Western Front,1930,152,59000,255,94,8.1
842,Lupin III: The Castle of Cagliostro,1979,102,29000,103,101,7.6
843,The Bride of Frankenstein,1935,75,45000,303,128,7.8
844,The 39 Steps,1935,86,54000,275,121,7.7
845,To Be or Not to Be,1942,99,33000,152,83,8.2
846,Nobody Knows,2004,141,26000,120,140,8.1
847,I  Daniel Blake,2016,100,57000,193,260,7.9
848,The Wages of Fear,1953,131,58000,180,147,8.1
849,Persepolis,2007,96,91000,179,262,8.0
850,Taste of Cherry,1997,95,27000,116,108,7.8
851,Peeping Tom,1960,101,33000,195,130,7.7
852,The Lady Vanishes,1938,96,50000,248,110,7.8
853,Cries & Whispers,1972,91,32000,221,98,8.1
854,The Return,2003,110,44000,201,116,8.0
855,Baahubali: The Beginning,2015,159,108000,536,60,8.0
856,Bringing Up Baby,1938,102,59000,310,103,7.9
857,The Umbrellas of Cherbourg,1964,91,25000,163,134,7.8
858,The Thin Man,1934,91,28000,160,79,8.0
859,The Innocents,1961,100,28000,242,137,7.8
860,The Lunchbox,2013,104,53000,240,213,7.8
861,Vikram Vedha,2017,147,33000,175,18,8.4
862,Shine,1996,105,53000,122,67,7.7
863,My Name Is Khan,2010,165,102000,316,214,8.0
864,Rififi,1955,118,32000,140,108,8.1
865,The Secret of Kells,2009,75,34000,103,131,7.6
866,Fearless,2006,104,74000,214,61,7.6
867,Article 15,2019,130,27000,344,35,8.2
868,K.G.F: Chapter 1,2018,156,46000,1100,13,8.3
869,The Little Prince,2015,108,59000,148,162,7.7
870,The Invisible Man,1933,71,32000,217,118,7.7
871,Love and Death,1975,85,37000,125,49,7.7
872,The World's Fastest Indian,2005,127,53000,270,129,7.8
873,Brief Encounter,1945,86,38000,242,144,8.0
874,Sunrise,1927,94,49000,274,122,8.1
875,Munna Bhai M.B.B.S.,2003,156,77000,92,6,8.1
876,Pink,2016,136,42000,227,33,8.1
877,Down by Law,1986,107,50000,116,85,7.7
878,Loveless,2017,127,31000,81,253,7.6
879,Kal Ho Naa Ho,2003,186,66000,158,57,7.9
880,The Experiment,2001,120,92000,181,115,7.7
881,Stalag 17,1953,120,54000,168,103,8.0
882,After the Wedding,2006,120,33000,119,138,7.7
883,La Strada,1954,108,61000,161,117,8.0
884,Dilwale Dulhania Le Jayenge,1995,181,66000,162,25,8.1
885,Tokyo Godfathers,2003,92,34000,70,104,7.8
886,Ivan's Childhood,1962,95,34000,85,90,8.1
887,My Sassy Girl,2001,137,47000,184,55,8.0
888,Arsenic and Old Lace,1943,118,68000,299,64,8.0
889,The Postman,1994,108,35000,129,40,7.7
890,The Girl Who Leapt Through Time,2006,98,63000,106,83,7.7
891,The Past,2013,130,47000,103,323,7.7
892,Darbareye Elly,2009,119,50000,93,152,8.0
893,Swades,2004,189,87000,315,81,8.2
894,Sleuth,1972,138,46000,172,62,8.0
895,The General,1926,67,86000,312,120,8.1
896,Winter Sleep,2014,196,49000,125,209,8.1
897,The Battle of Algiers,1966,121,56000,303,157,8.1
898,Head-On,2004,121,53000,90,123,7.9
899,Ninja Scroll,1993,94,36000,125,28,7.9
900,Only Yesterday,1991,118,29000,118,77,7.6
901,Time of the Gypsies,1988,142,29000,305,33,8.2
902,Rang De Basanti,2006,167,116000,388,43,8.1
903,L'Avventura,1960,144,28000,120,120,7.9
904,The Discreet Charm of the Bourgeoisie,1972,102,41000,93,94,7.9
905,Kahaani,2012,122,60000,202,49,8.1
906,Hera Pheri,2000,156,61000,108,4,8.2
907,G.O.R.A.,2004,127,59000,72,15,8.0
908,Harvey,1950,104,54000,248,86,7.9
909,M.S. Dhoni: The Untold Story,2016,184,46000,244,38,7.9
910,Departures,2008,130,50000,163,179,8.1
911,Farewell My Concubine,1993,171,26000,126,45,8.1
912,Ace in the Hole,1951,111,34000,196,126,8.1
913,Badhaai Ho,2018,124,31000,245,21,8.0
914,The Gold Rush,1925,95,106000,208,127,8.2
915,Hindi Medium,2017,132,26000,105,23,7.9
916,Queen,2013,146,63000,234,48,8.2
917,The Broken Circle Breakdown,2012,111,40000,74,210,7.7
918,My Father and My Son,2005,112,83000,135,7,8.3
919,Crimes and Misdemeanors,1989,104,56000,189,107,7.9
920,Sanjuro,1962,96,36000,89,63,8.1
921,Vivre Sa Vie,1962,85,30000,66,109,8.0
922,In America,2002,105,42000,285,139,7.7
923,Millennium Actress,2001,87,25000,78,86,7.9
924,Au Revoir les Enfants,1987,104,32000,109,82,8.0
925,The Passion of Joan of Arc,1928,114,51000,210,141,8.1
926,Miracle on 34th Street,1947,96,44000,198,97,7.9
927,Jules and Jim,1962,105,39000,140,128,7.8
928,The Purple Rose of Cairo,1985,82,50000,164,94,7.7
929,The Triplets of Belleville,2003,80,53000,318,179,7.8
930,4 Months  3 Weeks and 2 Days,2007,113,58000,193,200,7.9
931,Battleship Potemkin,1925,66,55000,219,94,8.0
932,The Ladykillers,1955,91,28000,157,87,7.7
933,The Exterminating Angel,1962,95,32000,100,97,8.1
934,Rockstar,2011,159,42000,183,35,7.7
935,Fireworks,1997,103,29000,136,82,7.8
936,The Killer,1989,111,47000,251,97,7.8
937,In a Better World,2010,118,39000,101,212,7.6
938,Celda 211,2009,113,66000,71,129,7.6
939,Hiroshima Mon Amour,1959,90,30000,116,132,7.9
940,Baahubali 2: The Conclusion,2017,167,80000,536,64,8.2
941,Drishyam,2013,160,38000,130,12,8.3
942,Black Cat  White Cat,1998,127,52000,108,71,8.1
943,Waltz with Bashir,2008,90,56000,168,243,8.0
944,Joint Security Area,2000,110,28000,96,109,7.8
945,Veer-Zaara,2004,192,51000,161,32,7.8
946,Vampire Hunter D: Bloodlust,2000,103,30000,114,65,7.7
947,No Man's Land,2001,98,46000,185,109,7.9
948,White Heat,1949,114,31000,196,87,8.1
949,Special 26,2013,144,53000,141,32,8.0
950,Masaan,2015,109,26000,107,44,8.2
951,Duck Soup,1933,69,59000,289,81,7.8
952,The Shop Around the Corner,1940,99,30000,172,79,8.1
953,The Virgin Spring,1960,89,28000,110,112,8.1
954,Tangerines,2013,87,44000,108,124,8.2
955,The Magdalene Sisters,2002,114,27000,200,159,7.7
956,Udaan,2010,134,44000,111,29,8.2
957,Haider,2014,160,52000,260,57,8.1
958,Talvar,2015,132,33000,103,40,8.2
959,The Lost Weekend,1945,101,35000,168,128,7.9
960,Raise the Red Lantern,1991,125,31000,124,48,8.1
961,Elite Squad 2: The Enemy Within,2010,115,81000,86,141,8.0
962,The Muppet Christmas Carol,1992,85,52000,197,86,7.7
963,Once Upon a Time in Anatolia,2011,157,44000,125,192,7.9
964,Baby,2015,159,55000,239,25,8.0
965,Nine Queens,2000,114,51000,130,104,7.9
966,Raazi,2018,138,28000,198,35,7.8
967,Black,2005,122,34000,183,30,8.2
968,Barfi!,2012,151,78000,259,63,8.1
969,The Chorus,2004,97,59000,130,125,7.9
970,Sholay,1975,162,53000,177,27,8.2
971,Kind Hearts and Coronets,1949,106,36000,163,114,8.0
972,Jab We Met,2007,138,50000,95,16,7.9
973,Sherlock Jr.,1924,45,45000,333,75,8.2
974,La Grande Illusion,1937,113,35000,145,94,8.1
975,Le Dîner de Cons,1998,80,40000,112,64,7.7
976,Knockin' on Heaven's Door,1997,87,29000,52,19,7.9
977,Udta Punjab,2016,148,29000,136,32,7.8
978,A Wednesday,2008,104,76000,157,14,8.1
979,English Vinglish,2012,134,35000,122,62,7.8
980,Tae Guk Gi: The Brotherhood of War,2004,140,39000,246,85,8.0
981,The Rules of the Game,1939,110,28000,113,117,8.0
982,Central Station,1998,110,38000,279,71,8.0
983,Airlift,2016,130,55000,213,42,8.0
984,Joyeux Noel,2005,116,29000,163,126,7.7
985,C.R.A.Z.Y.,2005,129,32000,101,73,7.9
986,The Circus,1928,72,32000,342,73,8.1
987,Paan Singh Tomar,2012,135,35000,99,27,8.2
988,Carry On  Munna Bhai,2006,144,45000,118,15,8.0
989,Andaz Apna Apna,1994,160,52000,123,5,8.1
990,Dev.D,2009,144,30000,134,17,8.0
991,A Night at the Opera,1935,96,32000,165,54,7.9
992,Zelig,1983,79,41000,122,69,7.7
993,OMG: Oh My God!,2012,125,55000,142,39,8.1
994,Vicky Donor,2012,126,41000,77,20,7.8
995,Anand,1971,122,33000,135,12,8.2
996,Kai Po Che,2013,120,35000,139,37,7.8
997,The Edge of Heaven,2007,122,31000,66,152,7.8
998,Vizontele,2001,110,35000,22,7,8.0
999,Nefes: Vatan Sagolsun,2009,128,33000,60,7,8.0
